ด้านที่ประเมิน,ตัวแปรหลัก (Factors),Pass / Stable / Good,Fail / Drifted / Bad,Definition
Metric (MS/CD),Recall,≥0.85,<0.85,วัดความสามารถของโมเดลในการหา TP ได้ครบแค่ไหน
,Precision,≥0.86,<0.86,วัดว่าผลที่โมเดลทำนายว่า Positive นั้น “ถูกจริง” กี่เปอร์เซ็นต์
,F1-Score,≥0.82,<0.82,ค่าเฉลี่ยที่ใช้รักษาสมดุลระหว่าง Recall และ Precision
,Accuracy,≥0.80,<0.80,วัดว่าโมเดลทำนายถูกทั้งหมดกี่เปอร์เซ็นต์
,Matthews Correlation Coefficient (MCC),≥0.60,<0.60,ใช้ประเมินคุณภาพและความน่าเชื่อถือโดยรวมของโมเดล
Pattern (CD),Graph Density,0.1−0.6,Out of range,อัตราการเกิดรายการที่โมเดลส่งสัญญาณเตือน
,Node Centrality (mean),>0.4,≤0.4,ค่าความสำคัญของบัญชีในเครือข่าย เพื่อระบุจุดศูนย์กลางการกระจายเงิน
,Motif Similarity,>0.6,≤0.6,ดัชนีวัดความคล้ายคลึงของรูปแบบการทำธุรกรรมที่เป็นเครือข่าย (ใช้ตรวจจับ Concept Drift)
Feature (DD),Feature Importance,>0.05,≤0.05,ลำดับความสำคัญของตัวแปรที่โมเดลใช้ตัดสินใจ
,Edge Weights (mean),>0.3,≤0.3,ค่าเฉลี่ยน้ำหนักความสัมพันธ์ระหว่างบัญชี
,Learning Rate,0.001−0.01,Out of range,ค่าความเร็วที่โมเดลใช้ปรับปรุงตัวเองเมื่อเจอข้อผิดพลาด
,Tree Depth,3−8,Out of range,จำนวนชั้นหรือความซับซ้อนในการคิดของโมเดล
Data (DD),Missing Values %,<5%,≥5%,เปอร์เซ็นต์ข้อมูลที่หาย (null / missing)
,Label Imbalance,<10:1,≥10:1,ความไม่สมดุลของข้อมูลระหว่างกลุ่มปกติและกลุ่มเสี่ยง
,Data Distribution (PSI),<0.10,≥0.10,ค่าดัชนีวัดการเปลี่ยนแปลงของโครงสร้างข้อมูลเทียบกับช่วงเวลาที่สร้างโมเดล
System (SE),Latency ms,≤300ms,>300ms,เวลาที่ใช้ในการประมวลผลต่อหนึ่งรายการ
,Throughput (TPS),≥100,<100,Transaction Per Second ที่รองรับได้
,CPU / RAM Usage,≤80%,>80%,อัตราการใช้ทรัพยากรของเครื่องแม่ข่าย
